X,Y,description,ADDRESSUNITNUMBER,ADDRESSSTREETNAME,ADDRESSBUILDINGNAME,ADDRESSBLOCKNUMBER
103.9455214,1.346716157,"Exchange your recyclables for cash. 
1st & 3rd Monday of the month from 9am to 1pm.",,Tampines Street 11,Tampines Town Council,102
103.9589663,1.354018638,"Exchange your recyclables for cash. 
Every Saturday from 9am to 1pm.",,Tampines Street 32,Tampines Town Council,381
103.9466515,1.357273979,"Exchange your recyclables for cash. 
Last Sunday of the month from 9am to 12pm.",,Tampines Street 41,Tampines North Community Club,2
103.9501482,1.359552572,"Exchange your recyclables for cash. 
2nd Saturday of the month from 9am to 12pm.",,Tampines Street 41,Tampines North Zone 3 RC Centre,430
103.9516613,1.357421251,"Exchange your recyclables for cash. 
1st Saturday of the month from 9am to 12pm.",,Tampines Street 42,Tampines North Zone 4 RC Centre,450
103.9546642,1.359587144,"Exchange your recyclables for cash. 
1st Saturday of the month from 9am to 12pm.",,Tampines Street 44,Tampines North Zone 5 RC Centre,465
103.9597168,1.36034648,"Exchange your recyclables for cash. 
1st Sunday of the month from 9am to 12pm.",,Tampines Street 45,Tampines North Zone 7 RC Centre,497G
103.9334992,1.356706055,"Exchange your recyclables for cash. 
Every Saturday on alternate months from 9am to 1pm.",,Tampines Street 71,Tampines Courtview RC (U & Me corner),730
103.9355444,1.359087016,"Exchange your recyclables for cash. 
1st Sunday of the month from 9am to 12pm.",,Tampines Street 72,Tampines Starlight RC (Tampines Starlight Café corner),718
103.9345424,1.347781944,"Exchange your recyclables for cash. 
Every Friday from 9am to 1pm.",,Tampines Street 81,Tampines Town Council,897
103.9360574,1.352475824,"Exchange your recyclables for cash. 
2nd and last Monday of the month from 9am to 1pm.",,Tampines Street 82,Tampines Town Council,848
103.9371117,1.352076745,"Exchange your recyclables for cash. 
1st Saturday of the month from 9am to 12pm.",#01-96,Tampines Street 82,Tampines Arcadia RC,842G
103.8012931,1.439983659,"Exchange your recyclables for cash. 
Every Monday from 9am to 1pm.",,Woodlands Avenue 6,,678
103.7971166,1.446108086,"Exchange your recyclables for cash. 
Every Monday from 9am to 1pm.",,Woodlands Circle,,766
103.7929876,1.430162304,"Exchange your recyclables for cash. 
Every Monday from 9am to 1pm.",,Woodlands Avenue 4,,547
103.7519039,1.381155285,"Exchange your recyclables for cash. 
1st Sunday of the month from 9am to 1pm.",,Teck Whye Ave,Chua Chu Kang Community Club,35
103.7647756,1.378853657,"Exchange your recyclables for cash. 
Last Sunday of odd months from 9am to 1pm.",,Lompang Road,Cashew Zone 2 RC,180
103.7457261,1.395669184,"Exchange your recyclables for cash. 
Every Thursday from 9am to 1pm.",,Choa Chu Kang Street 52,,563
103.7460861,1.39793012,"Exchange your recyclables for cash. 
Every Thursday from 9am to 1pm.",,Choa Chu Kang Street 62,,627
103.764046,1.382495201,"Exchange your recyclables for cash. 
Last Saturday of odd months from 9am to 1pm.",,Jelapang Road,Cashew Zone 4 RC,543
103.9395684,1.34902777,"Exchange your recyclables for cash. 
Every Friday from 9am to 1pm.",,Tampines Street 91,Tampines Town Council,914
103.9610042,1.354474473,"Exchange your recyclables for cash. 
Every Saturday from 9am to 1pm.",,Tampines Street 33,Tampines Town Council,358
103.8427413,1.275905209,"Exchange your recyclables for cash. 
3rd Saturday of the month from 9am to 12pm.",,Tanjong Pagar Plaza,"Tanjong Pagar Plaza RC, Level 1 Concourse",4
103.7461194,1.341229736,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Toh Guan Road,,270
103.7735416,1.33830479,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Toh Yi Drive,,9
103.8462209,1.284594567,"Exchange your recyclables for cash. 
3rd Sunday of the month from 9am to 12pm.",,Upper Cross Street,Hong Lim RC (In front of Fook Hai Building),535
103.7604116,1.310320169,"Exchange your recyclables for cash. 
1st Sunday of the month from 9am to 1pm.",,West Coast Drive,West Coast Heights RC (Lift A),511
103.7589432,1.308217605,"Exchange your recyclables for cash. 
1st Sunday of the month from 9am to 1pm.",,West Coast Drive,West Coast Heights RC (Lift A),518
103.8573375,1.326263579,"Exchange your recyclables for cash. 
Last Saturday of the month from 1.30pm to 4.30pm.",#01-115,Whampoa Road,Whampoa Garden RC,115
103.7216264,1.3353068,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Yung Sheng Road,Hardcourt next to Taman Jurong Community Club,1
103.7549948,1.347715403,"Exchange your recyclables for cash. 
1st Sunday of every month from 7.30am to 1pm.",,Bukit Batok East Avenue 3,,230
103.752556,1.363939412,"Exchange your recyclables for cash. 
1st Sunday of every month from 7.30am to 1pm.",,Bukit Batok West Avenue 5,,386
103.7564705,1.340924599,"Exchange your recyclables for cash. 
1st Sunday of every month from 7.30am to 1pm.",,Bukit Batok Street 23,,531
103.8538233,1.300527367,"Exchange your recyclables for cash. 
2nd Saturday of every month from 9am to 1pm.",,Queen Street,,269A
103.8608408,1.304586183,"Exchange your recyclables for cash. 
1st Sunday of every month from 10am to 12pm.",,Crawford Lane,Fitness Corner,462
103.8637079,1.304331656,"Exchange your recyclables for cash. 
2nd Saturday of every month from 9am to 1pm.",,North Bridge Road,,7
103.8552727,1.31372068,"Exchange your recyclables for cash.
3rd Saturday of every month from 9am to 1pm.",,Race Course Road,,681
103.8629951,1.323723801,"Exchange your recyclables for cash.
1st Sunday of every month from 9am to 11.30am.",,St George Road,St. George East RC,9
103.8608201,1.322119722,"Exchange your recyclables for cash.
2nd Sunday of every alternate month from 10am to 12pm.",,St George Link,St. George West RC (Link Building),4C
103.8190333,1.287263881,"Exchange your recyclables for cash.
Last Sunday of every month from 9am to 12pm.",,Redhill Lane,Redhill Gardens RC (Multi-Purpose Hall),84A
103.9438198,1.372342599,"Exchange your recyclables for cash.
1st Sunday of every quarter from 8.30am to 11.30am.",,Pasir Ris Grove,Livia Condo (Surface carpark lot),61
103.8528785,1.349138087,"Exchange your recyclables for cash.
1st Sunday of every quarter from 8.30am to 11.30am.",,Bishan Street 13,,181
103.7506946,1.359259407,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Bukit Batok Street 31,Hardcourt,371
103.8546417,1.345662846,"Exchange your recyclables for cash. 
Every Sunday from 9am to 1pm.",,Bishan Street 11,,152
103.9390464,1.32925882,"Exchange your recyclables for cash. 
1st Sunday of the month from 9am to 10am.",,Bedok North Road,,124
103.914991,1.331827141,"Exchange your recyclables for cash. 
1st Sunday of the month from 10am to 11am.",,Bedok Reservoir Road,,616
103.9363435,1.330010113,"Exchange your recyclables for cash. 
2nd Saturday of the month from 11am to 1pm.",,Bedok North Street 2,,138
103.9413097,1.332888992,"Exchange your recyclables for cash. 
2nd Sunday of every month from 10am to 12pm.",,Bedok North Avenue 4,,93
103.9347722,1.325203718,"Exchange your recyclables for cash. 
2nd Sunday of every month from 11am to 1pm.",,Bedok Central,,221A
103.9366015,1.33329852,"Exchange your recyclables for cash. 
3rd Sunday of every month from 9am to 11am.",,Bedok North Avenue 4,,104
103.9398472,1.321906637,"Exchange your recyclables for cash. 
3rd Sunday of every month from 10am to 12pm.",,Bedok South Avenue 2,,37
103.9449652,1.319639692,"Exchange your recyclables for cash. 
3rd Saturday of every month from 11am to 1pm.",,Bedok South Avenue 3,,167
103.9354586,1.331455748,"Exchange your recyclables for cash. 
Last Saturday of every month from 9am to 11am.",,Bedok North Road,,111
103.9362221,1.322093905,"Exchange your recyclables for cash. 
Last Sunday of every month from 9am to 11am.",,Bedok South Avenue 2,,10C
103.9359901,1.335961065,"Exchange your recyclables for cash. 
Last Sunday of every month from 9.30am to 11.30am.",,Bedok Reservoir View,,765
103.9155993,1.333961863,"Exchange your recyclables for cash. 
Last Sunday of every month from 10am to 12pm.",,Bedok Reservoir Road,,627
103.9427323,1.320416027,"Exchange your recyclables for cash. 
Last Sunday of every month from 1pm to 3pm.",,Bedok South Road,,71
103.9084048,1.333087258,"Exchange your recyclables for cash. 
1st Saturday of every month from 9am to 10am.",,Jalan Damai,,669
103.913088,1.304733486,"Exchange your recyclables for cash. 
Every Tuesday 7pm to 9pm",,Marine Crescent,,44
103.9422653,1.323435856,"Exchange your recyclables for cash. 
Last Sunday of every month from 8.30am to 10am.",,New Upper Changi Rd,,51
103.7499561,1.345480078,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Bukit Batok Street 21,,210
103.7436981,1.347371795,"Exchange your recyclables for cash. 
Every Sunday from 7.30am to 1pm.",,Bukit Batok West Avenue 8,,154A
103.8258872,1.275071821,"Exchange your recyclables for cash. 
Last Sunday of the month from 9.30am to 12.30pm.",,Bukit Purmei Road,Bukit Purmei Zone 'B' RC Centre,114
103.8253281,1.273374146,"Exchange your recyclables for cash. 
Last Sunday of every alternate month from 9am to 12pm.",,Bukit Purmei Road,Bukit Purmei Zone 'A' RC Centre,108
103.8400703,1.274476165,"Exchange your recyclables for cash. 
3rd Sunday of the month from 9am to 12pm.",#01-15,Cantonment Close,Cantonment Towers RC,12
103.8412746,1.275532298,"Exchange your recyclables for cash. 
2nd and last Saturday of the month from 9am to 1pm.",,Cantonment Road,"Pinnacle @Duxton RC, Level 3, Void Deck",1G
103.814606,1.292316487,"Exchange your recyclables for cash. 
2nd Sunday of the month from 9am to 1pm.",,Clarence Lane,Delta RC,133
103.8864784,1.328177828,"Exchange your recyclables for cash. 
Every Tuesday from 9am to 1pm.",,Circuit Road,,37
103.8884992,1.324098121,"Exchange your recyclables for cash. 
Every Tuesday from 9am to 1pm.",,Pipit Road,,56
103.8865213,1.32337966,"Exchange your recyclables for cash. 
Every Tuesday from 9am to 1pm.",,Pipit Road,,90
103.8831922,1.307870566,"Exchange your recyclables for cash. 
Every Wednesday from 9am to 1pm.",,Pine Close,,1
103.8828872,1.302044886,"Exchange your recyclables for cash. 
Every Wednesday from 9am to 1pm.",,Jalan Batu,,10
103.8847295,1.308133688,"Exchange your recyclables for cash. 
Every Wednesday from 9am to 1pm.",,Jalan Tiga,,43
103.8873475,1.308404783,"Exchange your recyclables for cash. 
Every Wednesday from 9am to 1pm.",,Old Airport Road,,95A
103.9011039,1.320314002,"Exchange your recyclables for cash. 
1st & 3rd Tuesday of the month from 9am to 1pm.",,Eunos Crescent,,32A
103.9004921,1.326506662,"Exchange your recyclables for cash. 
1st & 3rd Saturday of the month from 9am to 1pm.",,Ubi Avenue 1,,343
103.8614038,1.318176432,"Exchange your recyclables for cash. 
3rd Saturday of odd months from 9am to 1pm.",,Boon Keng Road,Bendemeer RC,22
103.8824422,1.374483617,"Exchange your recyclables for cash. 
Every Saturday from 9am to 1pm.",,Hougang Avenue 4,,662
103.8787989,1.376628234,"Exchange your recyclables for cash. 
Every Sunday from 9am to 1pm.",,Hougang Street 91,,956
103.8913606,1.354937475,"Exchange your recyclables for cash. 
Every Sunday from 9am to 3pm.",,Hougang Avenue 1,,101
103.8810642,1.370285491,"Exchange your recyclables for cash. 
Every Friday from 9am to 1pm.",,Hougang Avenue 8,,630
103.9083441,1.396604851,"Exchange your recyclables for cash. 
Every Thursday from 9am to 1pm.",,Punggol Field,,106A
