X,Y,description,ADDRESSBUILDINGNAME,ADDRESSSTREETNAME
103.8717045,1.350438172,"Manned collection; E-waste accepted: ICT equipment, Batteries",SONY @ NEX,"23 SERANGOON CENTRAL, NEX, #03-21"
103.8450476,1.300747708,"Manned collection; E-waste accepted: ICT equipment, Batteries",STARHUB @ PLAZA SING,"68 ORCHARD ROAD, STAHUB @ PLAZA SING, #1-36"
103.944388,1.352672316,"Manned collection; E-waste accepted: ICT equipment, Batteries",STARHUB @ TAMPINES,"4 TAMPINES CENTRAL 5, STARHUB @ TAMPINES, #2-27"
103.8717045,1.350438172,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ NEX,"23 SERANGOON CENTRAL, NEX, #B1-56"
103.7467345,1.334898437,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ IMM,"2 JURONG EAST STREET 21, IMM, #01-53"
103.749022,1.35018916,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ WEST MALL,"1 BUKIT BATOK CENTRAL LINK, WEST MALL, #01-16"
103.8509824,1.284339935,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ ONE RAFFLES PLACE,"1 RAFFLES PLACE, ONE RAFFLES PLACE, #02-25"
103.8352403,1.303723214,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ THE PARAGON,"290 ORCHARD ROAD, THE PARAGON, #04-31"
103.944388,1.352672316,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ TAMPINES MALL,"4 TAMPINES CENTRAL 5, TAMPINES MALL, #03-01"
103.7856887,1.436007845,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ CAUSEWAY POINT,"1 WOODLANDS SQUARE, CAUSEWAY POINT, #03-01"
103.854867,1.298469626,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ BUGIS JUNCTION,"80 MIDDLE ROAD, BUGIS JUNCTION, #01-81"
103.9051136,1.301191307,"Manned collection; E-waste accepted: ICT equipment, Batteries",M1 @ PARKWAY PARADE,"80 MARINE PARADE ROAD, PARKWAY PARADE, #02-24"
103.7707683,1.383580441,Bin collection; E-waste accepted: Ink and toner cartridges,FAJAR SHOPPING CENTRE,"445 FARJAR ROAD, FAJAR SHOPPING CENTRE"
103.7661705,1.385295565,Bin collection; E-waste accepted: Ink and toner cartridges,GREENRIDGE SHOPPING CENTRE,"524A JELAPANG ROAD, GREENRIDGE SHOPPING CENTRE"
103.7471825,1.398277194,Bin collection; E-waste accepted: Ink and toner cartridges,YEW TEE SQUARE,"624 CHOA CHU KANG STREET 62, YEW TEE SQUARE"
103.7981198,1.445750775,Bin collection; E-waste accepted: Ink and toner cartridges,WOODLANDS MART,"768 WOODLANDS AVENUE 6, WOODLANDS MART"
103.7951367,1.437679197,Bin collection; E-waste accepted: Ink and toner cartridges,888 PLAZA,"888 WOODLANDS DRIVE 50, 888 PLAZA"
103.8195433,1.453845183,Bin collection; E-waste accepted: Ink and toner cartridges,SEMBAWANG MART,"511 CANBERRA ROAD, SEMBAWANG MART"
103.896597,1.316450168,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",WISMA GEYLANG SERAI,1 ENGKU AMAN TURN
103.8927244,1.317523841,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PAYA LEBAR QUARTER (PLQ),"10 PAYA LEBAR ROAD, PAYA LEBAR QUARTER (PLQ)"
103.9003124,1.383492334,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",RIVERVALE COURT RC,"110 RIVERVALE WALK, RIVERVALE COURT RC"
103.905022,1.38814105,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",RIVERVALE SPRING RC,"135 RIVERVALE STREET, RIVERVALE SPRING RC, #01-730"
103.905459,1.394540678,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",RIVERVALE VISTA RC,"188B RIVERVALE DRIVE, RIVERVALE VISTA RC, 01-1076"
103.8939236,1.388313108,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",COMPASSVALE SOUTHGATE RC,"201B COMPASSVALE DRIVE, COMPASSVALE SOUTHGATE RC, #01-545"
103.9096604,1.389491499,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",RIVERVALE ARC RC,"180C RIVERVALE CRESCENT, RIVERVALE ARC RC, #01-367"
103.8975474,1.386818289,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",COMPASSVALE VILLA RC,"206C COMPASSVALE LANE, COMPASSVALE VILLA RC"
103.8866657,1.397127918,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",ANCHORVALE CC,"59 ANCHORVALE ROAD, ANCHORVALE COMMUNITY CLUB"
103.9072886,1.403284291,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PUNGGOL VISTA CC,"602 PUNGGOL CENTRAL, PUNGGOL VISTA CC"
103.9089738,1.397404207,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PUNGGOL OASIS RC,"176C EDGEFIELD PLAINS, PUNGGOL OASIS RC, #01-569"
103.9029109,1.398778268,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PUNGGOL CLOVER RN,"204A  204A PUNGGOL FIELD, PUNGGOL CLOVER RN, #01-288"
103.8956649,1.404515901,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PUNGGOL WEST CC,"259C PUNGGOL FIELD, PUNGGOL WEST CC"
103.8983589,1.403313772,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PUNGGOL SAPPHIRALD RN,"268D PUNGGOL FIELD, PUNGGOL SAPPHIRALD RN, #01-173"
103.9134641,1.393606242,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",PUNGGOL 21 CC,"80 PUNGGOL FIELD, PUNGGOL 21 CC"
103.8238528,1.304843432,"Bin collection; E-waste accepted: Batteries, Lamps",COLD STORAGE@TANGLIN MALL,"163 TANGLIN ROAD, TANGLIN MALL, #B1-01"
103.8376844,1.301385095,"Manned collection; E-waste accepted: ICT equipment, Batteries",SONY @ 313 SOMERSET,"313 ORCHARD ROAD, 313 SOMERSET, #02-28"
103.8331896,1.303698902,"Manned collection; E-waste accepted: ICT equipment, Batteries",SONY @ WISMA ATRIA,"435 ORCHARD ROAD, WISMA ATRIA, #03-01"
103.7705588,1.376450749,"Bin collection; E-waste accepted: ICT equipment, Batteries, Lamps",BUKIT PANJANG CC,8 PENDING ROAD
