ADDRESSBLOCK,ADDRESSROAD,ADDRESSSTREET,X,Y
107A,SUNSET WAY RESIDENCE,CLEMENTI STREET 12,20960.9963,33819.5741
108,SUNSET WAY RESIDENCE,CLEMENTI STREET 11,20982.8635,33819.3539
354A,,ANG MO KIO STREET 32,30057.9775,38494.4296
106A,TOA PAYOH BLOOM,LORONG 1 TOA PAYOH,29626.6255,35859.9297
106,,PUNGGOL FIELD,36343.523,42031.5647
108A,SUNSET WAY RESIDENCE,CLEMENTI STREET 11,20969.5807,33834.2212
43A,PINE GREEN,JALAN TIGA,33740.1486,32306.0285
164,,PUNGGOL CENTRAL,37029.2933,41958.0249
826A,,TAMPINES STREET 81,39215.0044,36812.6641
828A,,TAMPINES STREET 81,39236.4933,36803.6525
177B,,LOMPANG ROAD,20403.8754,40222.9934
99C,TOA PAYOH PALM SPRING,LORONG 2 TOA PAYOH,29572.6048,35687.121
486B,,CHOA CHU KANG AVENUE 5,17395.3892,39694.1531
11,,YORK HILL,28524.3728,29964.6265
109A,SUNSET WAY RESIDENCE,CLEMENTI STREET 11,20992.3952,33769.1453
647A,EASTDALE,PUNGGOL CENTRAL,37149.5252,42261.0817
197,,PUNGGOL FIELD,36155.4896,42390.9968
256A,,SERANGOON CENTRAL DRIVE,32263.3618,37478.4814
102,,PUNGGOL FIELD,36050.0132,42240.4008
117,HDB-QUEENSTOWN,COMMONWEALTH DRIVE,24322.0022,32101.8973
137,HDB-BUKIT MERAH,JALAN BUKIT MERAH,27292.227,28956.5515
690,,CHOA CHU KANG CRESCENT,18956.2233,42757.3781
688,,CHOA CHU KANG DRIVE,18786.9003,42842.512
631A,,JURONG WEST STREET 65,13143.704,36170.5884
667E,,JURONG WEST STREET 65,13442.3879,36021.6265
46,,BENDEMEER ROAD,31640.3382,33905.7914
691,,CHOA CHU KANG CRESCENT,18893.1646,42529.6867
28B,,HOY FATT ROAD,25354.1743,29895.0669
740A,RESERVOIR VILLAGE,BEDOK RESERVOIR ROAD,37991.2538,35617.9664
482A,SEGAR GARDENS,SEGAR ROAD,21219.1891,41206.2601
685,HDB-KALLANG/WHAMPOA,RACE COURSE ROAD,30616.7385,32921.6195
684,HDB-KALLANG/WHAMPOA,RACE COURSE ROAD,30597.6254,32954.9293
124E,RIVERVALE GROVE,RIVERVALE DRIVE,35700.7456,40992.9151
214A,,NEW UPPER CHANGI ROAD,39038.6317,34217.1593
125A,BISHAN-TOA PAYOH TOWN COUNCIL (MAIN OFFICE),LORONG 2 TOA PAYOH,29383.7949,35525.1399
85A,COMMONWEALTH HEIGHTS,COMMONWEALTH CLOSE,24208.7725,31791.5043
412,CORAL VALE,FERNVALE LINK,32963.9828,41262.5769
121F,RIVERVALE BANK,SENGKANG EAST WAY,36049.1623,40966.6041
99A,TOA PAYOH PALM SPRING,LORONG 2 TOA PAYOH,29508.4683,35661.6012
613B,,BUKIT PANJANG RING ROAD,20025.4419,40677.6765
407,,FERNVALE ROAD,32644.4874,41163.3368
312,HDB-HOUGANG,HOUGANG AVENUE 5,34780.8276,38611.0952
76,,REDHILL ROAD,26110.1095,30116.5594
108,DEPOT HEIGHTS SHOPPING CENTRE,DEPOT ROAD,25408.3167,29285.5231
303,HDB-HOUGANG,HOUGANG AVENUE 5,34833.5258,38892.6045
897E,,WOODLANDS DRIVE 50,23703.2133,46373.4528
52,HDB-CENTRAL AREA,CHIN SWEE ROAD,28919.4396,29944.5963
156B,RIVERVALE GREEN,RIVERVALE CRESCENT,36145.7268,41546.8604
110,,PUNGGOL FIELD,36409.233,41978.1228
973A,,HOUGANG STREET 91,33189.9732,40001.0848
46,HDB-QUEENSTOWN,STIRLING ROAD,24467.5526,31200.9949
211A,,NEW UPPER CHANGI ROAD,38926.5904,34197.795
681,,JURONG WEST CENTRAL 1,13738.0476,36253.8745
34,ANSAR GARDEN,CHAI CHEE AVENUE,38359.6091,34045.6995
152B,,SERANGOON NORTH AVENUE 1,32420.0449,39091.0105
405,,FERNVALE LANE,32530.692,41244.1809
