ADDRESSBLOCK,ADDRESSROAD,ADDRESSSTREET,X,Y
107A,SUNSET WAY RESIDENCE,CLEMENTI STREET 12,1.32213,103.77007
108,SUNSET WAY RESIDENCE,CLEMENTI STREET 11,1.32212,103.77027
354A,,ANG MO KIO STREET 32,1.3644,103.85181
106A,TOA PAYOH BLOOM,LORONG 1 TOA PAYOH,1.34058,103.84793
106,,PUNGGOL FIELD,1.39639,103.90829
108A,SUNSET WAY RESIDENCE,CLEMENTI STREET 11,1.32226,103.77015
43A,PINE GREEN,JALAN TIGA,1.30844,103.8849
164,,PUNGGOL CENTRAL,1.39573,103.91445
826A,,TAMPINES STREET 81,1.34919,103.93409
828A,,TAMPINES STREET 81,1.34911,103.93429
177B,,LOMPANG ROAD,1.38004,103.76506
99C,TOA PAYOH PALM SPRING,LORONG 2 TOA PAYOH,1.33902,103.84745
486B,,CHOA CHU KANG AVENUE 5,1.37525,103.73803
11,,YORK HILL,1.28726,103.83803
109A,SUNSET WAY RESIDENCE,CLEMENTI STREET 11,1.32167,103.77035
647A,EASTDALE,PUNGGOL CENTRAL,1.39847,103.91553
197,,PUNGGOL FIELD,1.39964,103.9066
256A,,SERANGOON CENTRAL DRIVE,1.35522,103.87163
102,,PUNGGOL FIELD,1.39828,103.90565
117,HDB-QUEENSTOWN,COMMONWEALTH DRIVE,1.30659,103.80027
137,HDB-BUKIT MERAH,JALAN BUKIT MERAH,1.27815,103.82696
690,,CHOA CHU KANG CRESCENT,1.40296,103.75205
688,,CHOA CHU KANG DRIVE,1.40373,103.75053
631A,,JURONG WEST STREET 65,1.34338,103.69983
667E,,JURONG WEST STREET 65,1.34204,103.70251
46,,BENDEMEER ROAD,1.32291,103.86603
691,,CHOA CHU KANG CRESCENT,1.4009,103.75149
28B,,HOY FATT ROAD,1.28663,103.80954
740A,RESERVOIR VILLAGE,BEDOK RESERVOIR ROAD,1.33839,103.9231
482A,SEGAR GARDENS,SEGAR ROAD,1.38893,103.77239
685,HDB-KALLANG/WHAMPOA,RACE COURSE ROAD,1.31401,103.85683
684,HDB-KALLANG/WHAMPOA,RACE COURSE ROAD,1.31431,103.85666
124E,RIVERVALE GROVE,RIVERVALE DRIVE,1.387,103.90252
214A,,NEW UPPER CHANGI ROAD,1.32572,103.93251
125A,BISHAN-TOA PAYOH TOWN COUNCIL (MAIN OFFICE),LORONG 2 TOA PAYOH,1.33755,103.84575
85A,COMMONWEALTH HEIGHTS,COMMONWEALTH CLOSE,1.30379,103.79925
412,CORAL VALE,FERNVALE LINK,1.38944,103.87792
121F,RIVERVALE BANK,SENGKANG EAST WAY,1.38676,103.90565
99A,TOA PAYOH PALM SPRING,LORONG 2 TOA PAYOH,1.33879,103.84687
613B,,BUKIT PANJANG RING ROAD,1.38415,103.76166
407,,FERNVALE ROAD,1.38854,103.87505
312,HDB-HOUGANG,HOUGANG AVENUE 5,1.36546,103.89425
76,,REDHILL ROAD,1.28864,103.81634
108,DEPOT HEIGHTS SHOPPING CENTRE,DEPOT ROAD,1.28112,103.81003
303,HDB-HOUGANG,HOUGANG AVENUE 5,1.368,103.89472
897E,,WOODLANDS DRIVE 50,1.43566,103.79471
52,HDB-CENTRAL AREA,CHIN SWEE ROAD,1.28708,103.84158
156B,RIVERVALE GREEN,RIVERVALE CRESCENT,1.39201,103.90651
110,,PUNGGOL FIELD,1.39591,103.90888
973A,,HOUGANG STREET 91,1.37803,103.87995
46,HDB-QUEENSTOWN,STIRLING ROAD,1.29845,103.80158
211A,,NEW UPPER CHANGI ROAD,1.32555,103.9315
681,,JURONG WEST CENTRAL 1,1.34414,103.70517
34,ANSAR GARDEN,CHAI CHEE AVENUE,1.32417,103.92641
152B,,SERANGOON NORTH AVENUE 1,1.3698,103.87304
405,,FERNVALE LANE,1.38927,103.87403
493,,JURONG WEST STREET 41,1.34899,103.72483
147A,TOA PAYOH TOWERS,LORONG 2 TOA PAYOH,1.33466,103.84536
32A,,CHAI CHEE AVENUE,1.32339,103.92467
403,,FERNVALE LANE,1.38862,103.87302
147B,TOA PAYOH TOWERS,LORONG 2 TOA PAYOH,1.33398,103.84518
10C,HDB-BEDOK,BEDOK SOUTH AVENUE 2,1.32209,103.93622
86,MARINE PARADE PROMENADE,MARINE PARADE CENTRAL,1.30173,103.90674
683,,JURONG WEST CENTRAL 1,1.34232,103.70501
670,,JURONG WEST STREET 65,1.3444,103.70249
685,,JURONG WEST STREET 64,1.3432,103.7044
662,,JURONG WEST STREET 64,1.33675,103.70318
680,,JURONG WEST CENTRAL 1,1.34454,103.70581
15,GOLDEN BEACH VISTA,BEACH ROAD,1.30335,103.86313
672,,JURONG WEST STREET 65,1.34398,103.70065
383A,,BUKIT BATOK WEST AVENUE 5,1.36259,103.75211
183,,RIVERVALE CRESCENT,1.39177,103.90816
964,,JURONG WEST STREET 91,1.342,103.69265
962,,JURONG WEST STREET 91,1.34202,103.69148
742A,RESERVOIR VILLAGE,BEDOK RESERVOIR ROAD,1.33852,103.92235
159,RIVERVALE VIEW,RIVERVALE CRESCENT,1.38833,103.90756
622B,,BUKIT BATOK CENTRAL,1.35057,103.7483
388A,,BUKIT BATOK WEST AVENUE 5,1.36443,103.75233
517F,,JURONG WEST STREET 52,1.34468,103.71977
4A,,BEACH ROAD,1.30461,103.86473
649,,JURONG WEST STREET 61,1.33896,103.69703
623,ELIAS MALL,ELIAS ROAD,1.37783,103.94236
290,,YISHUN STREET 22,1.43606,103.83616
454,HDB-TAMPINES,TAMPINES STREET 42,1.3573,103.95501
161,RIVERVALE VIEW,RIVERVALE CRESCENT,1.38758,103.90863
627A,,JURONG WEST STREET 65,1.34164,103.69895
107A,,COMMONWEALTH CRESCENT,1.30795,103.79964
462A,,CRAWFORD LANE,1.30488,103.86077
195A,KIM KEAT VIEW,KIM KEAT AVENUE,1.3304,103.85858
101A,TOA PAYOH PALM SPRING,LORONG 2 TOA PAYOH,1.33974,103.84726
101B,TOA PAYOH PALM SPRING,LORONG 2 TOA PAYOH,1.3396,103.84761
184A,CORPORATION SPRING,CORPORATION DRIVE,1.33287,103.72189
116D,RIVERVALE EDGE,RIVERVALE DRIVE,1.38289,103.90244
895E,,WOODLANDS DRIVE 50,1.43581,103.79213
325A,,ANG MO KIO AVENUE 3,1.36752,103.84689
336,NEW BRIDGE CENTRE,SMITH STREET,1.28281,103.84271
318B,,JURONG EAST AVENUE 1,1.34775,103.73084
20,,CANTONMENT CLOSE,1.27417,103.83964
4A,GHIM MOH GREEN,GHIM MOH ROAD,1.31308,103.78758
77,,REDHILL ROAD,1.28841,103.81694
509C,,BEDOK NORTH STREET 3,1.33354,103.93042
304,HDB-HOUGANG,HOUGANG AVENUE 5,1.36776,103.89555
86A,HDB-BUKIT MERAH,TELOK BLANGAH HEIGHTS,1.277,103.80837
373B,,HOUGANG STREET 31,1.3622,103.89079
128A,BUKIT MERAH VIEW,BUKIT MERAH VIEW,1.28329,103.82361
700D,AMK CENTRAL HEIGHTS,ANG MO KIO AVENUE 6,1.36973,103.84687
60B,,STRATHMORE AVENUE,1.29294,103.8117
184A,VISTA 8,BEDOK NORTH ROAD,1.32613,103.9421
530,,JURONG WEST STREET 52,1.34853,103.71547
182A,STIRLING RISE,STIRLING ROAD,1.29547,103.80464
356,,ADMIRALTY DRIVE,1.44953,103.81723
102,,YISHUN AVENUE 5,1.43062,103.82876
49,,TANGLIN HALT ROAD,1.30043,103.79736
524A,FRAGRANT WOODS,WOODLANDS DRIVE 14,1.43323,103.79333
2D,BOON TIONG ARCADIA,BOON TIONG ROAD,1.28661,103.83282
41,HDB-QUEENSTOWN,STIRLING ROAD,1.29864,103.80194
678,EDELWEISS@JURONG,JURONG WEST STREET 64,1.34538,103.70416
9A,,SELEGIE ROAD,1.30333,103.85064
46-3,,COMMONWEALTH DRIVE,1.29997,103.79772
105A,TIONG BAHRU ORCHID,JALAN BUKIT MERAH,1.28066,103.82426
701A,FAMILYLAND,YISHUN AVENUE 5,1.42996,103.82792
496,,JURONG WEST STREET 41,1.34999,103.72384
497A,,JURONG WEST STREET 41,1.34941,103.72466
988,,JURONG WEST STREET 93,1.33615,103.6955
409A,,ANG MO KIO AVENUE 10,1.36246,103.85546
498A,,JURONG WEST STREET 41,1.34921,103.72461
987,,JURONG WEST STREET 93,1.3369,103.69488
495A,,JURONG WEST STREET 41,1.3495,103.72462
366A,,CLEMENTI AVENUE 2,1.3128,103.77184
47,,TANGLIN HALT ROAD,1.30079,103.79808
66,,YUNG KUANG ROAD,1.33206,103.72292
624B,,JURONG WEST STREET 61,1.34073,103.69844
70A,,GEYLANG BAHRU,1.32192,103.87018
64,,YUNG KUANG ROAD,1.33237,103.72245
809,KITCHENER COMPLEX,FRENCH ROAD,1.30833,103.86201
811,HDB-KALLANG/WHAMPOA,FRENCH ROAD,1.30775,103.86129
981,,BUANGKOK CRESCENT,1.38032,103.87891
22A,BENDEMEER VILLE,BOON KENG ROAD,1.31892,103.86192
24,,DAKOTA CRESCENT,1.30645,103.88547
125,,EDGEDALE PLAINS,1.39393,103.91137
16,,DAKOTA CRESCENT,1.30617,103.88489
663E,,JURONG WEST STREET 64,1.33812,103.70275
6,BEACH ROAD GARDENS,BEACH ROAD,1.30399,103.86442
32A,EUNOS COURT,EUNOS CRESCENT,1.32031,103.9011
206A,BOON LAY GARDENS,BOON LAY DRIVE,1.34532,103.71552
70,,GEYLANG BAHRU,1.32189,103.87032
210A,BOON LAY PLACE,BOON LAY PLACE,1.34824,103.71324
304B,,WOODLANDS STREET 31,1.42985,103.77434
12,,DAKOTA CRESCENT,1.30578,103.88473
531A,HONG LIM COMPLEX,UPPER CROSS STREET,1.28532,103.84578
302,,CHOA CHU KANG AVENUE 4,1.38502,103.74334
34B,,MARSILING DRIVE,1.44447,103.77167
466A,SEGAR GARDENS,SEGAR ROAD,1.38721,103.77348
209A,BOON LAY PLACE,BOON LAY PLACE,1.34606,103.71539
26,,DAKOTA CRESCENT,1.30629,103.88569
656,,JURONG WEST STREET 61,1.33594,103.70032
135,JURONG GATEWAY,JURONG GATEWAY ROAD,1.33375,103.73937
304A,,WOODLANDS STREET 31,1.43059,103.77367
13,,OLD AIRPORT ROAD,1.30703,103.88352
35,HDB-BUKIT MERAH,TELOK BLANGAH RISE,1.27302,103.82212
664E,,JURONG WEST STREET 64,1.33899,103.70254
207A,BOON LAY PLACE,BOON LAY PLACE,1.34705,103.71366
45A,SIMS VISTA,SIMS DRIVE,1.31713,103.87819
985,,BUANGKOK CRESCENT,1.3815,103.88004
129,,EDGEDALE PLAINS,1.39316,103.91038
151A,,MEI LING STREET,1.29486,103.80302
14A,MARINE TERRACE BREEZE,MARINE TERRACE,1.30329,103.91507
35A,,CHAI CHEE AVENUE,1.32454,103.92671
93A,,WHAMPOA DRIVE,1.32153,103.85426
163,,BUKIT MERAH CENTRAL,1.28388,103.81694
201E,HDB-TAMPINES,TAMPINES STREET 23,1.35292,103.95386
23A,,SIN MING ROAD,1.35478,103.83607
1A,BALESTIER HILL SHOPPING CENTRE,THOMSON ROAD,1.32574,103.84303
120A,,BUKIT MERAH LANE 1,1.28671,103.80452
353A,,CLEMENTI AVENUE 2,1.31467,103.77058
213B,PUNGGOL WAVES,PUNGGOL WALK,1.40072,103.89848
213A,PUNGGOL WAVES,PUNGGOL WALK,1.40031,103.89808
22C,,HAVELOCK ROAD,1.28878,103.82827
428,FLORAL SPRING @ YISHUN,YISHUN AVENUE 11,1.42238,103.8471
428B,FLORAL SPRING @ YISHUN,YISHUN AVENUE 11,1.42208,103.84723
490D,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,1.37603,103.74137
490,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,1.37522,103.74119
488C,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,1.3766,103.73995
488D,SUNSHINE GARDENS,CHOA CHU KANG AVENUE 5,1.37642,103.7405
376B,HOUGANG DEWCOURT,HOUGANG STREET 32,1.36412,103.89409
504C,ACACIA BREEZE @ YISHUN,YISHUN STREET 51,1.41796,103.84346
504B,ACACIA BREEZE @ YISHUN,YISHUN STREET 51,1.41774,103.84383
504A,ACACIA BREEZE @ YISHUN,YISHUN STREET 51,1.41807,103.84409
477C,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,1.37932,103.90419
476C,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,1.37795,103.90435
477A,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,1.37831,103.90384
477B,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,1.37881,103.90423
476B,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,1.37733,103.90421
476A,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,1.37676,103.90405
477,HOUGANG CAPEVIEW,UPPER SERANGOON VIEW,1.37944,103.90387
258A,PUNGGOL TOPAZ,PUNGGOL FIELD,1.4038,103.89599
258B,PUNGGOL TOPAZ,PUNGGOL FIELD,1.40368,103.89646
261B,PUNGGOL TOPAZ,PUNGGOL WAY,1.40602,103.89651
261A,PUNGGOL TOPAZ,PUNGGOL WAY,1.40597,103.8968
520B,CENTRALE 8 AT TAMPINES,TAMPINES CENTRAL 8,1.35727,103.93967
52A,,LORONG 5 TOA PAYOH,1.33844,103.85236
661,,JURONG WEST STREET 64,1.33533,103.70495
179,TOA PAYOH CENTRAL,TOA PAYOH CENTRAL,1.3339,103.85009
34A,,LORONG 5 TOA PAYOH,1.33418,103.8541
135,HDB-CHOA CHU KANG,TECK WHYE LANE,1.38045,103.75156
182A,CORPORATION SPRING,YUNG SHENG ROAD,1.33355,103.72268
114,HDB-GEYLANG EAST,ALJUNIED AVENUE 2,1.32177,103.88667
127,,PUNGGOL FIELD WALK,1.3933,103.91213
136,,EDGEDALE PLAINS,1.39174,103.90981
27A,,BALAM ROAD,1.33038,103.88579
140,,TECK WHYE LANE,1.38003,103.75312
146,,TECK WHYE AVENUE,1.38112,103.75253
193,TOA PAYOH CENTRAL,LORONG 4 TOA PAYOH,1.33159,103.8513
135A,,TECK WHYE LANE,1.3803,103.75197
817,LAVENDER GARDENS,JELLICOE ROAD,1.30674,103.8609
32,,DAKOTA CRESCENT,1.30625,103.88609
304,,CHOA CHU KANG AVENUE 4,1.3845,103.74315
87,MARINE PARADE PROMENADE,MARINE PARADE CENTRAL,1.30245,103.90564
113,,EDGEFIELD PLAINS,1.39601,103.90718
